flow,speed,time
11.0,76.0,2021-01-21 22:15:00
15.0,81.0,2021-01-21 22:30:00
18.0,83.0,2021-01-21 22:45:00
6.0,66.0,2021-01-21 23:00:00
15.0,75.0,2021-01-21 23:15:00
11.0,89.0,2021-01-21 23:30:00
6.0,100.0,2021-01-21 23:45:00
6.0,80.0,2021-01-22 00:00:00
10.0,88.0,2021-01-22 00:15:00
17.0,84.0,2021-01-22 00:30:00
7.0,80.0,2021-01-22 00:45:00
13.0,88.0,2021-01-22 01:00:00
11.0,67.0,2021-01-22 01:15:00
11.0,67.0,2021-01-22 01:30:00
6.0,51.0,2021-01-22 01:45:00
11.0,61.0,2021-01-22 02:00:00
10.0,51.0,2021-01-22 02:15:00
11.0,72.0,2021-01-22 02:30:00
8.0,51.0,2021-01-22 02:45:00
5.0,51.0,2021-01-22 03:00:00
11.0,73.0,2021-01-22 03:15:00
8.0,38.0,2021-01-22 03:30:00
9.0,63.0,2021-01-22 03:45:00
9.0,67.0,2021-01-22 04:00:00
10.0,72.0,2021-01-22 04:15:00
11.0,72.0,2021-01-22 04:30:00
9.0,51.0,2021-01-22 04:45:00
12.0,61.0,2021-01-22 05:00:00
8.0,67.0,2021-01-22 05:15:00
7.0,35.0,2021-01-22 05:30:00
8.0,61.0,2021-01-22 05:45:00
13.0,78.0,2021-01-22 06:00:00
11.0,61.0,2021-01-22 06:15:00
16.0,72.0,2021-01-22 06:30:00
15.0,31.0,2021-01-22 06:45:00
22.0,73.0,2021-01-22 07:00:00
17.0,52.0,2021-01-22 07:15:00
19.0,43.0,2021-01-22 07:30:00
20.0,59.0,2021-01-22 07:45:00
15.0,52.0,2021-01-22 08:00:00
17.0,23.0,2021-01-22 08:15:00
23.0,63.0,2021-01-22 08:30:00
33.0,63.0,2021-01-22 08:45:00
28.0,40.0,2021-01-22 09:00:00
30.0,41.0,2021-01-22 09:15:00
22.0,41.0,2021-01-22 09:30:00
27.0,58.0,2021-01-22 09:45:00
25.0,40.0,2021-01-22 10:00:00
20.0,31.0,2021-01-22 10:15:00
23.0,54.0,2021-01-22 10:30:00
27.0,43.0,2021-01-22 10:45:00
30.0,46.0,2021-01-22 11:00:00
26.0,48.0,2021-01-22 11:15:00
29.0,45.0,2021-01-22 11:30:00
30.0,49.0,2021-01-22 11:45:00
26.0,53.0,2021-01-22 12:00:00
29.0,58.0,2021-01-22 12:15:00
34.0,62.0,2021-01-22 12:30:00
24.0,34.0,2021-01-22 12:45:00
23.0,41.0,2021-01-22 13:00:00
28.0,54.0,2021-01-22 13:15:00
34.0,67.0,2021-01-22 13:30:00
25.0,55.0,2021-01-22 13:45:00
23.0,43.0,2021-01-22 14:00:00
23.0,46.0,2021-01-22 14:15:00
26.0,40.0,2021-01-22 14:30:00
39.0,60.0,2021-01-22 14:45:00
44.0,60.0,2021-01-22 15:00:00
37.0,51.0,2021-01-22 15:15:00
39.0,47.0,2021-01-22 15:30:00
27.0,31.0,2021-01-22 15:45:00
26.0,37.0,2021-01-22 16:00:00
36.0,53.0,2021-01-22 16:15:00
36.0,60.0,2021-01-22 16:30:00
35.0,44.0,2021-01-22 16:45:00
38.0,44.0,2021-01-22 17:00:00
27.0,38.0,2021-01-22 17:15:00
24.0,25.0,2021-01-22 17:30:00
33.0,49.0,2021-01-22 17:45:00
31.0,39.0,2021-01-22 18:00:00
36.0,48.0,2021-01-22 18:15:00
39.0,55.0,2021-01-22 18:30:00
37.0,65.0,2021-01-22 18:45:00
37.0,66.0,2021-01-22 19:00:00
20.0,61.0,2021-01-22 19:15:00
26.0,49.0,2021-01-22 19:30:00
35.0,57.0,2021-01-22 19:45:00
23.0,60.0,2021-01-22 20:00:00
31.0,76.0,2021-01-22 20:15:00
23.0,64.0,2021-01-22 20:30:00
17.0,59.0,2021-01-22 20:45:00
21.0,62.0,2021-01-22 21:00:00
21.0,69.0,2021-01-22 21:15:00
23.0,75.0,2021-01-22 21:30:00
13.0,63.0,2021-01-22 21:45:00
13.0,53.0,2021-01-22 22:00:00
